No	unit	文番号	単語	品詞	意味1(文脈)	意味2(代表義)	意味3(その他)	分類
1	2	2-H-1	high school	n	高校			
2	2	2-H-1	festival	n	祭り			
3	2	2-H-3	where	adv	どこに			
4	2	2-H-3	school	n	学校			
5	2	2-H-3	trip	n	旅行			
6	2	2-H-3	why	adv	なぜ			
7	2	2-H-4	happen	v	起こる			
8	2	2-H-4	during	prep	〜の間に			
9	2	2-1-1	way	n	道	方法		
10	2	2-1-2	hill	n	丘			
11	2	2-1-4	beautiful	adj	美しい			
12	2	2-1-5	travel	v	旅をする			
13	2	2-1-5	back	adv	戻って			
14	2	2-1-6	think	v	〜だと思う	考える		
15	2	2-1-6	tower	n	塔			
16	2	2-1-9	arrive	v	到着する	(過去分詞)arrived		
17	2	2-1-9	top	n	頂上			
18	2	2-1-10	finally	adv	ついに			
19	2	2-1-10	reach	v	〜に到着する	〜に達する	(過去分詞)reached	
20	2	2-1-10	famous	adj	有名な			
21	2	2-1-10	stage	n	舞台			
22	2	2-1-12	view	n	眺め、景色			
23	2	2-1-12	breathtaking	adj	息をのむような			
24	2	2-1-13	whole	adj	全体の			
25	2	2-2-1	get	v	〜の状態になる	手に入れる		
26	2	2-2-1	bus	n	バス			
27	2	2-2-3	check	v	〜を確認する			
28	2	2-2-3	photo	n	写真			
29	2	2-2-5	hotel	n	ホテル			
30	2	2-2-6	share	v	〜を共有する	〜を分け合う		
31	2	2-2-6	family	n	家族			
32	2	2-2-7	wait	v	待つ			
33	2	2-2-7	minute	n	分	少しの間		
34	2	2-2-8	wrong	adj	どうした、調子が悪い	間違った		
35	2	2-2-9	leave	v	〜を置き忘れる	〜を去る	(過去形)left	
36	2	2-2-9	camera	n	カメラ			
37	2	2-2-10	really	adv	本当に			
38	2	2-2-10	worry	v	心配する			
39	2	2-2-13	hurry	v	急ぐ			
40	2	2-2-15	careful	adj	注意深い			
41	2	2-3-2	ever	adv	これまでに、かつて			
42	2	2-3-2	never	adv	一度も〜ない			
43	2	2-3-4	change	v	変わる	〜を変える	(過去分詞)changed	
44	2	2-3-4	recently	adv	最近			
45	2	2-3-5	maybe	adv	たぶん			
46	2	2-3-5	reason	n	理由			
47	2	2-3-7	return	v	戻る			
48	2	2-3-11	catch	v	〜を捕まえる			
49	2	2-3-12	big	adj	大きい	重要な		
50	2	2-3-12	deal	n	取引	事柄		
51	2	2-3-13	just	adv	ただ〜だけ	ちょうど		
52	2	2-3-13	happy	adj	うれしい、幸せな			
53	2	2-3-13	lose	v	〜を失う			
54	2	2-3-14	sunset	n	夕日			
55	2	2-3-15	such	adj	そのような			
56	2	2-G-1	kimono	n	着物			
57	2	2-G-1	shopping	n	買い物			
58	2	2-G-4	join	v	〜に参加する			
59	2	2-G-4	course	n	コース			
60	2	2-G-6	agree	v	同意する			
61	2	2-G-7	idea	n	考え、アイデア			
62	2	2-G-8	opinion	n	意見			
63	2	2-G-8	same	adj	同じ			
64	2	2-G-9	good	adj	良い			
65	2	2-G-12	correct	adj	正しい			
66	2	2-G-13	sound	v	〜に聞こえる	音		
67	2	2-G-17	hear	v	〜を聞く	〜だと聞いている	(過去分詞)heard	
